City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,79.75,light rain,-9.8,-139.0333,Villa Enata
5,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Rikitea,PF,76.33,light rain,-23.1203,-134.9692,Pension Maro'i
14,Lastoursville,GA,73.4,fog,-0.8143,12.7287,Auberge Bon Coin 02
15,Butaritari,KI,82.35,moderate rain,3.0707,172.7902,Isles Sunset Lodge
16,Hilo,US,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Busselton,AU,77.0,few clouds,-33.65,115.3333,Observatory Guest House
31,Kingsville,US,78.8,overcast clouds,27.5159,-97.8561,Econo Lodge Kingsville
33,Poum,NC,76.15,scattered clouds,-20.2333,164.0167,Gîte kajeon
34,Matamoros,MX,79.0,overcast clouds,25.5333,-103.25,Quinta Belem
40,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
43,Souillac,MU,78.8,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Arraial Do Cabo,BR,72.77,clear sky,-22.9661,-42.0278,Pousada Porto Praia
47,Meiganga,CM,82.33,overcast clouds,6.5167,14.3,DFR HOUSE
48,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
53,Perth,AU,84.2,smoke,-31.9333,115.8333,Beatty Lodge
55,Hithadhoo,MV,83.16,scattered clouds,-0.6,73.0833,Scoop Guest House
57,Bambous Virieux,MU,78.8,moderate rain,-20.3428,57.7575,Casa Tia Villa
58,Jieshi,CN,77.99,broken clouds,22.8134,115.8257,Yuehai Hotel
60,Mahebourg,MU,78.8,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
66,Soubre,CI,77.99,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
68,Hamilton,US,70.0,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
69,Inyonga,TZ,74.37,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
70,Alice Springs,AU,75.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
78,Buala,SB,77.14,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
80,Vanimo,PG,82.29,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
81,Olinda,BR,73.4,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
84,Hasaki,JP,70.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
85,Mayumba,GA,79.72,overcast clouds,-3.432,10.6554,LIKWALE LODGE
91,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
102,Nicoya,CR,75.49,overcast clouds,10.1483,-85.452,Guayacan Real
103,Sambava,MG,82.26,broken clouds,-14.2667,50.1667,Melrose
104,Kavaratti,IN,84.7,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
105,Atambua,ID,79.41,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
107,Porto Velho,BR,75.2,light rain,-8.7619,-63.9039,Hotel Central
123,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
125,Looc,PH,84.38,broken clouds,12.2605,121.9926,Cummings Highlands
128,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
132,Atar,MR,77.68,clear sky,20.5169,-13.0499,Oumou Elghoura
141,Chunhuhub,MX,70.9,scattered clouds,19.55,-88.6833,
142,San Patricio,US,75.99,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Yeppoon,AU,73.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
148,Hanyang,CN,70.11,overcast clouds,32.1371,105.5126,Forestry Hostel
154,Khani,GE,73.4,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
155,Kilindoni,TZ,81.07,light rain,-7.9139,39.6668,Bustani B&B
168,Totness,SR,75.18,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
171,Klyuchi,RU,71.94,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
175,Trairi,BR,75.94,overcast clouds,-3.2778,-39.2689,janelas do mar
176,Lorengau,PG,82.74,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
179,Esperance,AU,73.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
182,Bengkulu,ID,83.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
185,Naze,JP,73.4,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
188,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
192,Gat,IL,77.0,clear sky,31.61,34.7642,OlusHome
195,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
198,Lagunas,PE,71.28,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
201,Tutoia,BR,77.56,overcast clouds,-2.7619,-42.2744,Pousada Guará's
203,San-Pedro,CI,78.96,light rain,4.7485,-6.6363,Hotel Maria
204,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
208,Kahului,US,71.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
212,Tala,EG,81.66,clear sky,30.6803,30.9429,مصطفى اشرف
213,Victoria,HK,80.01,broken clouds,22.2855,114.1577,Mini Hotel Central
219,Sao Filipe,CV,72.16,clear sky,14.8961,-24.4956,Tortuga B&B
227,Rantepao,ID,74.32,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
228,Zaysan,KZ,72.52,overcast clouds,47.4667,84.8667,Ерлан үй
232,Gizo,SB,80.29,overcast clouds,-8.103,156.8419,Imagination Island
235,Faanui,PF,81.84,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
