City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Adrar,MR,20.5022,-10.0711,79.29,26,84,10.78,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,76.33,73,71,9.95,light rain
2,Ahipara,NZ,-35.1667,173.1667,56.35,69,81,8.63,broken clouds
3,Busselton,AU,-33.65,115.3333,78.01,56,11,1.99,few clouds
4,Tasiilaq,GL,65.6145,-37.6368,30.2,80,80,2.04,broken clouds
5,Albany,US,42.6001,-73.9662,52.0,67,100,2.26,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,54.0,89,100,8.99,overcast clouds
7,Georgetown,MY,5.4112,100.3354,89.01,66,20,5.75,few clouds
8,Punta Arenas,CL,-53.15,-70.9167,39.2,93,40,4.61,scattered clouds
9,Ushtobe,KZ,45.2514,77.9838,86.18,14,0,4.65,clear sky
10,Avarua,CK,-21.2078,-159.775,80.6,83,40,8.05,scattered clouds
11,Clyde River,CA,70.4692,-68.5914,8.6,72,1,2.3,clear sky
12,Atuona,PF,-9.8,-139.0333,79.75,75,94,15.37,light rain
13,Bluff,NZ,-46.6,168.3333,54.0,89,98,8.99,overcast clouds
14,Vaini,TO,-21.2,-175.2,73.4,94,75,9.22,broken clouds
15,Kruisfontein,ZA,-34.0033,24.7314,63.0,81,99,1.01,overcast clouds
16,San Patricio,US,28.017,-97.5169,75.99,94,75,13.8,broken clouds
17,Bethel,US,41.3712,-73.414,52.0,70,100,2.44,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,68.61,66,100,6.38,overcast clouds
19,Isangel,VU,-19.55,169.2667,77.0,73,40,5.75,scattered clouds
20,Yongchang,CN,30.0381,119.7317,75.0,50,100,7.0,overcast clouds
21,Victoria,HK,22.2855,114.1577,80.01,81,52,5.7,broken clouds
22,Anloga,GH,5.7947,0.8973,82.4,83,20,3.44,few clouds
23,Narsaq,GL,60.9167,-46.05,35.6,80,100,1.14,overcast clouds
24,Talara,PE,-4.5772,-81.2719,71.83,73,99,11.56,overcast clouds
25,Carnarvon,AU,-24.8667,113.6333,84.2,51,0,13.8,clear sky
26,Davila,PH,18.4726,120.5763,86.0,70,40,8.05,scattered clouds
27,Hilo,US,19.7297,-155.09,77.0,69,90,4.61,overcast clouds
28,Limulunga,ZM,-15.0969,23.1376,76.12,54,98,5.93,overcast clouds
29,Pingxiang,CN,27.6167,113.85,62.55,97,100,0.6,light rain
30,Yamada,JP,39.4667,141.95,61.74,63,98,7.56,overcast clouds
31,San Carlos,VE,9.6612,-68.5827,73.02,90,100,1.32,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,59.0,89,53,1.01,broken clouds
33,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.43,94,37,9.48,scattered clouds
34,Barrow,US,71.2906,-156.7887,19.4,86,90,3.44,overcast clouds
35,Sylva,RU,58.0348,56.7635,44.6,70,75,22.37,broken clouds
36,Ampanihy,MG,-24.7,44.75,88.16,38,0,4.65,clear sky
37,Teya,RU,60.3778,92.6267,42.78,94,100,6.87,overcast clouds
38,Hasaki,JP,35.7333,140.8333,72.0,56,75,13.8,broken clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,4.23,90,23,7.7,few clouds
40,Siauliai,LT,55.9333,23.3167,41.0,60,20,2.3,few clouds
41,Dikson,RU,73.5069,80.5464,32.23,91,100,16.17,overcast clouds
42,Kalianget,ID,-7.05,113.9333,84.07,64,43,7.29,scattered clouds
43,Chiredzi,ZW,-21.05,31.6667,87.33,27,0,3.38,clear sky
44,Eyl,SO,7.9803,49.8164,87.96,61,57,10.25,broken clouds
45,Victor Harbor,AU,-35.5667,138.6167,62.01,77,5,4.0,clear sky
46,Yellowknife,CA,62.456,-114.3525,19.4,58,75,8.05,light snow
47,Paita,PE,-5.0892,-81.1144,69.73,75,100,9.13,overcast clouds
48,Sangar,RU,63.9242,127.4739,28.98,79,84,10.04,broken clouds
49,Honiara,SB,-9.4333,159.95,77.18,88,100,4.12,overcast clouds
50,Qaanaaq,GL,77.484,-69.3632,25.93,76,99,8.5,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,28.54,96,99,9.75,light snow
