City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Namibe,AO,2021-04-27 23:21:17,-15.1961,12.1522,75.34,68,14,7.94
1,Rikitea,PF,2021-04-27 23:16:42,-23.1203,-134.9692,77.13,73,29,11.23
2,San Patricio,US,2021-04-27 23:21:18,28.017,-97.5169,78.8,83,90,19.57
3,Saint-Philippe,RE,2021-04-27 23:21:18,-21.3585,55.7679,75.2,83,0,8.05
4,Bukama,CD,2021-04-27 23:21:18,-9.2,25.85,69.17,94,52,2.82
5,Busselton,AU,2021-04-27 23:21:19,-33.65,115.3333,54.0,98,33,3.94
6,Osorno,CL,2021-04-27 23:21:19,-40.5667,-73.15,60.8,84,90,12.66
7,Malsch,DE,2021-04-27 23:21:19,48.8833,8.3333,50.0,57,10,6.91
8,Nicoya,CR,2021-04-27 23:21:19,10.1483,-85.452,87.8,45,40,14.97
9,Bud,US,2021-04-27 23:21:20,39.447,-86.1758,78.8,31,1,11.5
10,Mogadishu,SO,2021-04-27 23:21:20,2.0371,45.3438,82.42,76,46,10.36
11,Kaitangata,NZ,2021-04-27 23:21:20,-46.2817,169.8464,48.4,58,86,10.04
12,Odienne,CI,2021-04-27 23:21:20,9.51,-7.5692,75.99,79,100,7.65
13,Janikowo,PL,2021-04-27 23:21:21,52.7533,18.1133,37.0,69,0,1.14
14,Avarua,CK,2021-04-27 23:21:21,-21.2078,-159.775,82.4,74,83,11.5
15,Hay River,CA,2021-04-27 23:20:47,60.8156,-115.7999,15.8,48,83,10.36
16,Albany,US,2021-04-27 23:17:10,42.6001,-73.9662,66.0,36,96,0.18
17,Tlanalapan,MX,2021-04-27 23:21:22,19.25,-97.2667,59.59,66,66,7.72
18,Yantongshan,CN,2021-04-27 23:21:22,43.2919,126.0094,49.87,51,33,12.08
19,Qaanaaq,GL,2021-04-27 23:21:22,77.484,-69.3632,38.25,95,100,3.24
20,Puerto Del Rosario,ES,2021-04-27 23:21:22,28.5004,-13.8627,68.0,68,0,8.05
21,Hermanus,ZA,2021-04-27 23:21:23,-34.4187,19.2345,57.99,92,100,6.02
22,Cape Town,ZA,2021-04-27 23:21:23,-33.9258,18.4232,59.0,88,0,2.3
23,Vostok,RU,2021-04-27 23:21:23,46.4856,135.8833,42.71,65,100,4.43
24,Bengbu,CN,2021-04-27 23:21:24,32.9408,117.3608,58.96,72,77,5.91
25,Bethel,US,2021-04-27 23:20:36,41.3712,-73.414,64.4,25,1,8.05
26,Dudinka,RU,2021-04-27 23:21:24,69.4058,86.1778,32.29,98,100,14.09
27,Malaga,ES,2021-04-27 23:19:44,36.7202,-4.4203,62.01,100,0,2.3
28,Saskylakh,RU,2021-04-27 23:21:25,71.9167,114.0833,27.39,90,98,10.38
29,Ushuaia,AR,2021-04-27 23:19:58,-54.8,-68.3,42.8,93,75,5.75
30,Carnarvon,AU,2021-04-27 23:16:28,-24.8667,113.6333,60.8,72,0,9.22
31,Sitka,US,2021-04-27 23:21:25,57.0531,-135.33,48.2,66,90,13.8
32,Mwinilunga,ZM,2021-04-27 23:16:28,-11.7358,24.4293,60.04,93,36,2.46
33,Varberg,SE,2021-04-27 23:21:25,57.1056,12.2508,37.99,77,34,3.0
34,Ostrovnoy,RU,2021-04-27 23:21:26,68.0531,39.5131,23.27,85,100,7.49
